date,open,high,low,close,adj_close,volume
30-03-2021,183.1000061,183.1000061,185.2299957,178.3800049,182.3500061,2903300
31-03-2021,187.9400024,187.9400024,192.2749939,185.1300049,185.4299927,3079500
01-04-2021,188.2400055,188.2400055,193.9900055,185.3699951,192.5,2921400
05-04-2021,186.6900024,186.6900024,192.1000061,185.8099976,191.6600037,2591400
06-04-2021,190.0299988,190.0299988,194.4799957,187.5200043,188.6999969,3565600
07-04-2021,179.9400024,179.9400024,190.6199951,179.4700012,189.3800049,6663500
08-04-2021,180.1799927,180.1799927,183.8999939,179.3000031,181.647995,2625300
09-04-2021,179.5,179.5,182.4600067,177.25,179.6199951,2910200
12-04-2021,176.4900055,176.4900055,181.4900055,176.25,179.6799927,2619800
13-04-2021,177.9499969,177.9499969,178.6100006,172.1399994,175.2649994,3573600
14-04-2021,176.4299927,176.4299927,181.4669952,175.3099976,179.5,2938600
15-04-2021,175.3500061,175.3500061,178.2400055,174.25,177,2894900
16-04-2021,178.6900024,178.6900024,179.5099945,172.9400024,176.0119934,3058300
19-04-2021,174.5800018,174.5800018,178.7200012,171.5,177.3200073,3125700
20-04-2021,169.5700073,169.5700073,175,165.5200043,173.1840057,4575000
21-04-2021,167.0700073,167.0700073,170.3200073,164.1199951,168.0899963,3878600
22-04-2021,170.7100067,170.7100067,176.9199982,168.4299927,168.4900055,3856500
23-04-2021,174.25,174.25,178.25,172,172.9190063,3329900
26-04-2021,174.8800049,174.8800049,176.0310059,171.0700073,175.2100067,2549400
27-04-2021,177.9400024,177.9400024,179.6100006,174.8000031,176.1649933,2883000
28-04-2021,180,180,181.6699982,173.3509979,174.4369965,2409700
29-04-2021,177.6799927,177.6799927,183.2200012,173.3500061,182.75,3116000
30-04-2021,172.7100067,172.7100067,176.4499969,172.0099945,173.0039978,3580000
03-05-2021,168.1100006,168.1100006,173.4400024,167.8000031,173.1900024,3149700
04-05-2021,168.8999939,168.8999939,169.0399933,161.9600067,167.0149994,4658000
05-05-2021,162.3300018,162.3300018,170.1799927,162.1199951,169.3000031,3590100
06-05-2021,153.6399994,153.6399994,162.1049957,150.6999969,161.9100037,8529000
07-05-2021,151.2100067,151.2100067,157.0540009,148.7799988,156.5,7134000
10-05-2021,146.7299957,146.7299957,150.5,144.5200043,150.2839966,5827200
11-05-2021,142.7299957,142.7299957,144.3500061,136.0099945,139.1000061,8257400
12-05-2021,140.25,140.25,144.7700043,138.75,140.8999939,5307500
13-05-2021,135.75,135.75,142.3289948,131.2799988,142.25,13005400
14-05-2021,141.1999969,141.1999969,142.25,131.6699982,137.6799927,20325400
17-05-2021,132.5,132.5,137.7899933,130.253006,137.1560059,39755000
18-05-2021,135.0200043,135.0200043,138.3999939,131.4900055,134,18555600
19-05-2021,138.1900024,138.1900024,138.3800049,129.7100067,129.9499969,15565500
20-05-2021,136.1999969,136.1999969,138.8899994,135.6499939,138.8390045,8903600
21-05-2021,134.7100067,134.7100067,137.1699982,132.8800049,136.5500031,10056500
24-05-2021,135.9100037,135.9100037,137.9799957,134.3899994,135.5,8543600
25-05-2021,133.9900055,133.9900055,137.8500061,133.5599976,137.3999939,10435800
26-05-2021,134.75,134.75,135.7599945,133.720993,134.9400024,8179200
27-05-2021,143.1699982,143.1699982,143.8200073,134.5,135.0700073,21270200
28-05-2021,140.3999939,140.3999939,145,140.25,144.7599945,12000600
01-06-2021,144.3099976,144.3099976,146.0890045,141.5899963,143.8899994,16552100
02-06-2021,151,151,152.6999969,144.3999939,145.3500061,16245100
03-06-2021,144.1900024,144.1900024,151.1199951,143.8000031,149.5500031,11083300
04-06-2021,150.7299957,150.7299957,151.5700073,145,145.8300018,8534900
07-06-2021,148.9700012,148.9700012,150.9600067,146.3999939,150.9600067,7780200
08-06-2021,147.0099945,147.0099945,150.75,145.8000031,150.6000061,7125800
09-06-2021,144.8500061,144.8500061,149.3600006,144.4600067,148.5700073,5606500
10-06-2021,146.1199951,146.1199951,147.4499969,141.0399933,142.1499939,9482500
11-06-2021,148.4400024,148.4400024,148.9499969,145.1999969,145.8699951,4819900
14-06-2021,149.2100067,149.2100067,149.6000061,146.8500061,149.25,6107500
15-06-2021,151.7799988,151.7799988,153.7400055,148.8399963,149.1999969,12007700
16-06-2021,149.1499939,149.1499939,152.3500061,146.9199982,150.9499969,9632800
17-06-2021,150.6999969,150.6999969,152.2899933,148.6119995,148.9900055,8171300
